asciiname,lat,lon,country,admin_code,tz,population,country_name,region,sub_region
Ra's al Khaymah,25.78953,55.9432,AE,05,Asia/Dubai,115949,United Arab Emirates,Asia,Western Asia
Dubai,25.25817,55.30472,AE,03,Asia/Dubai,1137347,United Arab Emirates,Asia,Western Asia
Sharjah,25.33737,55.41206,AE,06,Asia/Dubai,543733,United Arab Emirates,Asia,Western Asia
Al Fujayrah,25.11641,56.34141,AE,04,Asia/Dubai,62415,United Arab Emirates,Asia,Western Asia
Al Ain,24.19167,55.76056,AE,01,Asia/Dubai,408733,United Arab Emirates,Asia,Western Asia
Ajman,25.41111,55.43504,AE,02,Asia/Dubai,226172,United Arab Emirates,Asia,Western Asia
Abu Dhabi,24.46667,54.36667,AE,01,Asia/Dubai,603492,United Arab Emirates,Asia,Western Asia
Taloqan,36.73605,69.53451,AF,26,Asia/Kabul,64256,Afghanistan,Asia,Southern Asia
Shibirghan,36.66757,65.7529,AF,31,Asia/Kabul,55641,Afghanistan,Asia,Southern Asia
Sar-e Pul,36.21544,65.93249,AF,33,Asia/Kabul,52121,Afghanistan,Asia,Southern Asia
Pul-e Khumri,35.94458,68.71512,AF,03,Asia/Kabul,56369,Afghanistan,Asia,Southern Asia
Maymana,35.92139,64.78361,AF,07,Asia/Kabul,75900,Afghanistan,Asia,Southern Asia
Mazar-e Sharif,36.70904,67.11087,AF,30,Asia/Kabul,303282,Afghanistan,Asia,Southern Asia
Kunduz,36.72896,68.857,AF,24,Asia/Kabul,161902,Afghanistan,Asia,Southern Asia
Khost,33.33951,69.92041,AF,37,Asia/Kabul,96123,Afghanistan,Asia,Southern Asia
Khulm,36.69736,67.69826,AF,30,Asia/Kabul,64933,Afghanistan,Asia,Southern Asia
Khanabad,36.6825,69.11556,AF,24,Asia/Kabul,71531,Afghanistan,Asia,Southern Asia
Kandahar,31.61332,65.71013,AF,23,Asia/Kabul,391190,Afghanistan,Asia,Southern Asia
Kabul,34.52813,69.17233,AF,13,Asia/Kabul,3043532,Afghanistan,Asia,Southern Asia
Jalalabad,34.42647,70.45153,AF,18,Asia/Kabul,200331,Afghanistan,Asia,Southern Asia
Herat,34.34817,62.19967,AF,11,Asia/Kabul,272806,Afghanistan,Asia,Southern Asia
Ghazni,33.55391,68.42096,AF,08,Asia/Kabul,141000,Afghanistan,Asia,Southern Asia
Gardez,33.59744,69.22592,AF,36,Asia/Kabul,103601,Afghanistan,Asia,Southern Asia
Charikar,35.01361,69.17139,AF,40,Asia/Kabul,53676,Afghanistan,Asia,Southern Asia
Bamyan,34.82156,67.82734,AF,05,Asia/Kabul,61863,Afghanistan,Asia,Southern Asia
Balkh,36.75635,66.8972,AF,30,Asia/Kabul,114883,Afghanistan,Asia,Southern Asia
Baghlan,36.13068,68.70829,AF,03,Asia/Kabul,108449,Afghanistan,Asia,Southern Asia
Bazarak,35.31292,69.51519,AF,42,Asia/Kabul,65000,Afghanistan,Asia,Southern Asia
Cool urhajo,34.26545,67.34516,AF,05,Asia/Kabul,58525,Afghanistan,Asia,Southern Asia
Korce,40.61861,20.78083,AL,46,Europe/Tirane,58259,Albania,Europe,Southern Europe
Elbasan,41.1125,20.08222,AL,43,Europe/Tirane,100903,Albania,Europe,Southern Europe
Vlore,40.46667,19.48972,AL,51,Europe/Tirane,89546,Albania,Europe,Southern Europe
Tirana,41.3275,19.81889,AL,50,Europe/Tirane,374801,Albania,Europe,Southern Europe
Shkoder,42.06828,19.51258,AL,49,Europe/Tirane,88245,Albania,Europe,Southern Europe
Fier-Cifci,40.71667,19.56667,AL,44,Europe/Tirane,60995,Albania,Europe,Southern Europe
Fier,40.72389,19.55611,AL,44,Europe/Tirane,56297,Albania,Europe,Southern Europe
Durres,41.32306,19.44139,AL,42,Europe/Tirane,122034,Albania,Europe,Southern Europe
Yerevan,40.18111,44.51361,AM,11,Asia/Yerevan,1093485,Armenia,Asia,Western Asia
Vanadzor,40.80456,44.4939,AM,06,Asia/Yerevan,101098,Armenia,Asia,Western Asia
Gyumri,40.7942,43.84528,AM,07,Asia/Yerevan,148381,Armenia,Asia,Western Asia
